Оборотно-сальдовая ведомость по счету 41 за 2025 г.;;;;;;;
;;;;;;;
Счет;"Показа-
тели";Сальдо на начало периода;;Обороты за период;;Сальдо на конец периода;
Номенклатура;;Дебет;Кредит;Дебет;Кредит;Дебет;Кредит
Период;;;;;;;
Обороты за Февраль 25;БУ;766 759,53;;759 685,94;869 827,28;656 618,19;
;Кол.;2 792,000;;2 778,000;3 174,000;2 396,000;
Обороты за Март 25;БУ;656 618,19;;614 147,85;475 234,69;795 531,35;
;Кол.;2 396,000;;2 238,000;1 733,000;2 901,000;
Обороты за Апрель 25;БУ;795 531,35;;618 699,79;537 207,46;877 023,68;
;Кол.;2 901,000;;2 322,000;1 984,000;3 239,000;
Обороты за Май 25;БУ;877 023,68;;1 296 962,46;1 032 425,14;1 141 561,00;
;Кол.;3 239,000;;4 729,000;3 784,000;4 184,000;
Обороты за Июнь 25;БУ;1 141 561,00;;1 137 131,36;1 115 831,96;1 162 860,40;
;Кол.;4 184,000;;4 150,000;4 081,000;4 253,000;
Обороты за Июль 25;БУ;1 162 860,40;;753 993,63;1 278 627,53;638 226,50;
;Кол.;4 253,000;;2 799,000;4 704,000;2 348,000;
Обороты за Август 25;БУ;638 226,50;;;637 139,23;1 087,27;
;Кол.;2 348,000;;;2 344,000;4,000;
Миникруассаны с клубничным джемом;БУ;268 134,97;;1 842 957,44;2 108 771,05;2 321,36;
;Кол.;2 887,000;;18 976,000;21 839,000;24,000;
Обороты за Январь 25;БУ;268 134,97;;506 589,78;415 571,20;359 153,55;
;Кол.;2 887,000;;5 105,000;4 287,000;3 705,000;
Обороты за Февраль 25;БУ;359 153,55;;211 447,02;307 007,92;263 592,65;
;Кол.;3 705,000;;2 183,000;3 168,000;2 720,000;
Обороты за Март 25;БУ;263 592,65;;197 281,63;129 021,79;331 852,49;
;Кол.;2 720,000;;2 088,000;1 346,000;3 462,000;
Обороты за Апрель 25;БУ;331 852,49;;168 822,41;181 198,44;319 476,46;
;Кол.;3 462,000;;1 799,000;1 904,000;3 357,000;
Обороты за Май 25;БУ;319 476,46;;357 591,32;273 053,35;404 014,43;
;Кол.;3 357,000;;3 638,000;2 821,000;4 174,000;
Обороты за Июнь 25;БУ;404 014,43;;273 281,79;197 332,36;479 963,86;
;Кол.;4 174,000;;2 869,000;2 052,000;4 991,000;
Обороты за Июль 25;БУ;479 963,86;;127 943,49;514 375,70;93 531,65;
;Кол.;4 991,000;;1 294,000;5 318,000;967,000;
Обороты за Август 25;БУ;93 531,65;;;91 210,29;2 321,36;
;Кол.;967,000;;;943,000;24,000;
Мишка;БУ;;;204 000,00;204 000,00;;
;Кол.;;;520,000;520,000;;
Обороты за Январь 25;БУ;;;184 000,00;132 000,00;52 000,00;
;Кол.;;;460,000;330,000;130,000;
Обороты за Февраль 25;БУ;52 000,00;;20 000,00;72 000,00;;
;Кол.;130,000;;60,000;190,000;;
"Печенье ""Юбилейное""";БУ;382 439,80;;1 612 985,36;1 752 682,04;242 743,12;
;Кол.;4 491,000;;18 816,000;20 453,000;2 854,000;
Обороты за Январь 25;БУ;382 439,80;;328 333,92;290 283,39;420 490,33;
;Кол.;4 491,000;;3 790,000;3 382,000;4 899,000;
Обороты за Февраль 25;БУ;420 490,33;;169 042,18;251 403,09;338 129,42;
;Кол.;4 899,000;;1 953,000;2 922,000;3 930,000;
Обороты за Март 25;БУ;338 129,42;;166 257,56;65 197,62;439 189,36;
;Кол.;3 930,000;;1 849,000;747,000;5 032,000;
Обороты за Апрель 25;БУ;439 189,36;;201 776,20;192 058,58;448 906,98;
;Кол.;5 032,000;;2 457,000;2 244,000;5 245,000;
Обороты за Май 25;БУ;448 906,98;;327 933,59;290 261,36;486 579,21;
;Кол.;5 245,000;;3 785,000;3 374,000;5 656,000;
Обороты за Июнь 25;БУ;486 579,21;;332 263,90;219 242,78;599 600,33;
;Кол.;5 656,000;;3 909,000;2 561,000;7 004,000;
Обороты за Июль 25;БУ;599 600,33;;87 378,01;289 437,57;397 540,77;
;Кол.;7 004,000;;1 073,000;3 403,000;4 674,000;
Обороты за Август 25;БУ;397 540,77;;;154 797,65;242 743,12;
;Кол.;4 674,000;;;1 820,000;2 854,000;
Печенье шоколадное;БУ;403 018,83;;2 797 766,74;3 200 528,57;257,00;
;Кол.;3 166,000;;21 457,000;24 621,000;2,000;
Обороты за Январь 25;БУ;403 018,83;;544 688,87;379 083,08;568 624,62;
;Кол.;3 166,000;;4 064,000;2 892,000;4 338,000;
Обороты за Февраль 25;БУ;568 624,62;;350 813,95;517 919,88;401 518,69;
;Кол.;4 338,000;;2 692,000;3 960,000;3 070,000;
Обороты за Март 25;БУ;401 518,69;;282 422,17;234 456,25;449 484,61;
;Кол.;3 070,000;;2 105,000;1 774,000;3 401,000;
Обороты за Апрель 25;БУ;449 484,61;;379 956,02;222 668,63;606 772,00;
;Кол.;3 401,000;;3 006,000;1 720,000;4 687,000;
Обороты за Май 25;БУ;606 772,00;;457 129,64;540 825,37;523 076,27;
